# a	N	delta a	delta N
74.53135675513296	987.372424502021	6.176977963132372	142.79456971001932
73.11126922174448	788.6135660337595	5.731994553367494	88.28613055984943
71.98470213324228	728.5140436687656	5.441641940212757	105.63147657712365
71.05571313462862	664.4288771214325	5.244302255519533	59.26427400020671
70.2643522146061	557.9417547000917	5.106741950405417	89.70201945426189
69.57098168700621	599.9663546234557	5.009813630489252	79.48721284495834
68.94808848308307	506.23769778097096	4.941918659970678	143.68841454102977
78.9099526066  1032.96216577	5.0710900473934  400.75035788812
81.1848341232  998.548714591	4.0710900473934  500.45883703293
83.1753554502  1182.89186994	3.0710900473934  500.0204320622
85.1658767773  1032.96216577	3.0710900473934  200.75035788812
85.308056872  1577.69805366	4.0710900473934  400.3648869885
87.0142180095  1551.19469485	3.0710900473934  500.1403735625
87.1563981043  1659.95619215	3.0710900473934  550.0617064606
88.7203791469  1900.89119353	2.0710900473934  400.1026984347
90.4265402844  2068.926935	2.0710900473934  400.5261512238
93.4123222749  2806.60681562	2.0710900473934  250.7751341741
96.1137440758  3054.7063696	2.0710900473934  300.8768180123
99.6682464455  5621.37184617	1.5710900473934  500.6193776562
102.796208531  8732.51555798	1.0710900473934  800.9742837912
107.488151659  10000		1.0710900473934  1500.7113106184
