a_s,n_c_best_possible_fit
60,272.1772922622179
61,292.0152464346076
62,303.99381570886146
63,339.5295736141077
64,353.4571974894083
65,367.95613744992374
66,383.0498290846781
67,423.5486744702995
68,449.8753104245212
69,477.8383386104809
70,497.4394372203159
71,550.0323933504246
72,572.5949177640501
73,614.3291551926561
74,665.7628690821417
75,700.0734331049512
76,758.6859478384541
77,813.9836434667699
78,882.133106136601
79,946.4283895088313
80,1025.666574106497
81,1100.4234589449056
82,1204.6006377833735
83,1292.3993371155557
84,1386.5973453660927
85,1517.8666294321101
86,1661.563187354371
87,1800.6748750633574
88,1971.1449127243804
89,2136.175829161981
90,2338.4077695809847
91,2585.6414387229192
92,2830.4243251512585
93,3129.67760348822
94,3460.5701395151514
95,3865.0980487595552
96,4273.744643514665
97,4773.329658580326
98,5331.314322688404
99,5954.525339814053
100,6717.765081307739
101,7578.835442330461
102,8550.27616576655
103,9743.671025163127
104,11103.632585192878
105,12781.221413662937
106,14860.876991298699
107,17278.917077082344
108,20090.400824359185
109,23833.63550716616
